Epoch 0: traj avg_rew -140.9436914787764, avg_traj_len 307.6923076923077
Epoch 1: traj avg_rew -157.70781988599853, avg_traj_len 285.7142857142857
Epoch 2: traj avg_rew -175.0298780595119, avg_traj_len 210.52631578947367
Epoch 3: traj avg_rew -149.36169577008727, avg_traj_len 200.0
Epoch 4: traj avg_rew -174.01350111034594, avg_traj_len 285.7142857142857
Epoch 5: traj avg_rew -171.6412646662457, avg_traj_len 235.2941176470588
Epoch 6: traj avg_rew -189.06659151932413, avg_traj_len 266.6666666666667
Epoch 7: traj avg_rew -173.28531385745225, avg_traj_len 307.6923076923077
Epoch 8: traj avg_rew -140.1740334793, avg_traj_len 181.8181818181818
Epoch 9: traj avg_rew -155.8664975000155, avg_traj_len 235.2941176470588
Epoch 10: traj avg_rew -137.80897199472173, avg_traj_len 266.6666666666667
Epoch 11: traj avg_rew -153.9652978152672, avg_traj_len 235.2941176470588
Epoch 12: traj avg_rew -120.56359024729879, avg_traj_len 190.47619047619048
Epoch 13: traj avg_rew -173.43659999780672, avg_traj_len 285.7142857142857
Epoch 14: traj avg_rew -154.22224618607422, avg_traj_len 235.2941176470588
Epoch 15: traj avg_rew -161.54228215177142, avg_traj_len 235.2941176470588
Epoch 16: traj avg_rew -127.59627638591827, avg_traj_len 222.22222222222223
Epoch 17: traj avg_rew -163.11035473615223, avg_traj_len 210.52631578947367
Epoch 18: traj avg_rew -173.43731372668162, avg_traj_len 266.6666666666667
Epoch 19: traj avg_rew -160.4823477861848, avg_traj_len 222.22222222222223
Epoch 20: traj avg_rew -140.3280298726354, avg_traj_len 210.52631578947367
Epoch 21: traj avg_rew -186.39226342833012, avg_traj_len 285.7142857142857
Epoch 22: traj avg_rew -156.905842592203, avg_traj_len 235.2941176470588
Epoch 23: traj avg_rew -136.78816638826675, avg_traj_len 235.2941176470588
Epoch 24: traj avg_rew -140.36252903399605, avg_traj_len 190.47619047619048
Epoch 25: traj avg_rew -143.2947387385712, avg_traj_len 222.22222222222223
Epoch 26: traj avg_rew -134.53048632737, avg_traj_len 222.22222222222223
Epoch 27: traj avg_rew -138.260976652739, avg_traj_len 235.2941176470588
Epoch 28: traj avg_rew -180.52716484831078, avg_traj_len 307.6923076923077
Epoch 29: traj avg_rew -158.8695851674474, avg_traj_len 200.0
Epoch 30: traj avg_rew -168.36010133468412, avg_traj_len 250.0
Epoch 31: traj avg_rew -148.1298703730705, avg_traj_len 222.22222222222223
Epoch 32: traj avg_rew -149.79926678707022, avg_traj_len 222.22222222222223
Epoch 33: traj avg_rew -130.67549295266747, avg_traj_len 222.22222222222223
Epoch 34: traj avg_rew -151.22869170020132, avg_traj_len 222.22222222222223
Epoch 35: traj avg_rew -150.93416652658618, avg_traj_len 200.0
Epoch 36: traj avg_rew -122.35917955425549, avg_traj_len 266.6666666666667
Epoch 37: traj avg_rew -176.11577434825276, avg_traj_len 235.2941176470588
Epoch 38: traj avg_rew -142.47643293477142, avg_traj_len 222.22222222222223
Epoch 39: traj avg_rew -178.73669342392972, avg_traj_len 285.7142857142857
Epoch 40: traj avg_rew -164.812293088186, avg_traj_len 266.6666666666667
Epoch 41: traj avg_rew -126.35470665478378, avg_traj_len 250.0
Epoch 42: traj avg_rew -141.97336282126113, avg_traj_len 200.0
Epoch 43: traj avg_rew -162.63462801013694, avg_traj_len 210.52631578947367
Epoch 44: traj avg_rew -127.11353350026076, avg_traj_len 210.52631578947367
Epoch 45: traj avg_rew -145.93252250694047, avg_traj_len 235.2941176470588
Epoch 46: traj avg_rew -142.87792815261363, avg_traj_len 235.2941176470588
Epoch 47: traj avg_rew -139.87605508404735, avg_traj_len 266.6666666666667
Epoch 48: traj avg_rew -153.5171076072312, avg_traj_len 250.0
Epoch 49: traj avg_rew -184.19247556589622, avg_traj_len 235.2941176470588
Epoch 50: traj avg_rew -170.586147732564, avg_traj_len 250.0
Epoch 51: traj avg_rew -137.123350165797, avg_traj_len 250.0
Epoch 52: traj avg_rew -145.48392145931751, avg_traj_len 222.22222222222223
Epoch 53: traj avg_rew -184.00848625306676, avg_traj_len 285.7142857142857
Epoch 54: traj avg_rew -184.4410062094374, avg_traj_len 235.2941176470588
Epoch 55: traj avg_rew -159.70254313863708, avg_traj_len 235.2941176470588
Epoch 56: traj avg_rew -140.41118946667217, avg_traj_len 190.47619047619048
Epoch 57: traj avg_rew -161.48553696188102, avg_traj_len 235.2941176470588
Epoch 58: traj avg_rew -124.09982129457141, avg_traj_len 266.6666666666667
Epoch 59: traj avg_rew -147.45763060563667, avg_traj_len 250.0
Epoch 60: traj avg_rew -150.5360370314757, avg_traj_len 235.2941176470588
Epoch 61: traj avg_rew -157.97976632806757, avg_traj_len 210.52631578947367
Epoch 62: traj avg_rew -145.08674140725864, avg_traj_len 266.6666666666667
Epoch 63: traj avg_rew -144.23157833735593, avg_traj_len 200.0
Epoch 64: traj avg_rew -154.37479580403124, avg_traj_len 210.52631578947367
Epoch 65: traj avg_rew -156.3978532100722, avg_traj_len 210.52631578947367
Epoch 66: traj avg_rew -163.26243273960145, avg_traj_len 285.7142857142857
Epoch 67: traj avg_rew -143.50745077921815, avg_traj_len 200.0
Epoch 68: traj avg_rew -162.41512938727223, avg_traj_len 235.2941176470588
Epoch 69: traj avg_rew -182.19325302553167, avg_traj_len 235.2941176470588
Epoch 70: traj avg_rew -131.0774015061855, avg_traj_len 235.2941176470588
Epoch 71: traj avg_rew -176.8914097087514, avg_traj_len 266.6666666666667
Epoch 72: traj avg_rew -156.68076081003392, avg_traj_len 222.22222222222223
Epoch 73: traj avg_rew -178.7840458823365, avg_traj_len 266.6666666666667
Epoch 74: traj avg_rew -152.20522406181607, avg_traj_len 285.7142857142857
Epoch 75: traj avg_rew -183.17410169120302, avg_traj_len 235.2941176470588
Epoch 76: traj avg_rew -152.33907805483108, avg_traj_len 285.7142857142857
Epoch 77: traj avg_rew -172.33204113085097, avg_traj_len 307.6923076923077
Epoch 78: traj avg_rew -147.95298789068823, avg_traj_len 250.0
Epoch 79: traj avg_rew -142.5156611778874, avg_traj_len 266.6666666666667
Epoch 80: traj avg_rew -196.1910658115569, avg_traj_len 266.6666666666667
Epoch 81: traj avg_rew -138.82695242698597, avg_traj_len 266.6666666666667
Epoch 82: traj avg_rew -174.72579933186478, avg_traj_len 235.2941176470588
Epoch 83: traj avg_rew -152.42425644125413, avg_traj_len 222.22222222222223
Epoch 84: traj avg_rew -162.2896477530123, avg_traj_len 285.7142857142857
Epoch 85: traj avg_rew -169.7759730506776, avg_traj_len 285.7142857142857
Epoch 86: traj avg_rew -155.0699043906824, avg_traj_len 235.2941176470588
Epoch 87: traj avg_rew -175.44039476953424, avg_traj_len 266.6666666666667
Epoch 88: traj avg_rew -147.15243799610698, avg_traj_len 200.0
Epoch 89: traj avg_rew -157.71571065095628, avg_traj_len 210.52631578947367
Epoch 90: traj avg_rew -175.75101444827567, avg_traj_len 266.6666666666667
Epoch 91: traj avg_rew -140.8788964592958, avg_traj_len 250.0
Epoch 92: traj avg_rew -172.95563221802, avg_traj_len 222.22222222222223
Epoch 93: traj avg_rew -162.07864403118785, avg_traj_len 235.2941176470588
Epoch 94: traj avg_rew -166.27775681355052, avg_traj_len 222.22222222222223
Epoch 95: traj avg_rew -174.01501991097788, avg_traj_len 250.0
Epoch 96: traj avg_rew -197.52402746131176, avg_traj_len 266.6666666666667
